,text,emotion,target_utterance,context_utterances,full_text,text_cleaned
10,"Ye lo. Pink roomaal? Shocking pink, actually. Ye chalega? Peacock blue!? Monisha beta, tumhaare paas koi aisa roomaal hai jise dekhakar lage ki ye shayad roomaal hai.",2,"Monisha beta, tumhaare paas koi aisa roomaal hai jise dekhakar lage ki ye shayad roomaal hai.","Ye lo. Pink roomaal? Shocking pink, actually. Ye chalega? Peacock blue!?","Ye lo. Pink roomaal? Shocking pink, actually. Ye chalega? Peacock blue!? Monisha beta, tumhaare paas koi aisa roomaal hai jise dekhakar lage ki ye shayad roomaal hai.",ye lu pink rumal shuck pink actuali ye chalega peacuck blue munisha beta tumhar pa kui aisa rumal hai jise dekhakar lage ki ye shayad rumal hai
11,"Radhabai chhutti pe gayi hai.. I mean, I mean, Maya suno, ghar ka washing machine bhi to nahi chal raha hai aur... Mumbai mein 600 achchhi laundaries hai! Correction, 1000 se jyaada laundaries hai... Mai achchhi laundaries ki baat kar rahi hu Indravardhan... 400 laundaries suburbs mein hai, jaha par middle class auratein sofa cum bed covers dhulwaati hai...mai..",2,"Mai achchhi laundaries ki baat kar rahi hu Indravardhan... 400 laundaries suburbs mein hai, jaha par middle class auratein sofa cum bed covers dhulwaati hai...mai..","Radhabai chhutti pe gayi hai.. I mean, I mean, Maya suno, ghar ka washing machine bhi to nahi chal raha hai aur... Mumbai mein 600 achchhi laundaries hai! Correction, 1000 se jyaada laundaries hai...","Radhabai chhutti pe gayi hai.. I mean, I mean, Maya suno, ghar ka washing machine bhi to nahi chal raha hai aur... Mumbai mein 600 achchhi laundaries hai! Correction, 1000 se jyaada laundaries hai... Mai achchhi laundaries ki baat kar rahi hu Indravardhan... 400 laundaries suburbs mein hai, jaha par middle class auratein sofa cum bed covers dhulwaati hai...mai..",radhabai chuti pe gayi hai mean mean maya sunu ghar ka vash machin bhi tu nahi chal raha hai aur mumbai mein 60 achchi laundari hai curectiun 10 se jyada laundari hai mai achchi laundari ki bat kar rahi hu indravardhan 40 laundari suburb mein hai jaha par midl cla auratein sufa cum bed cuver dhulvati hai mai
12,"To mai kya! Kya, divorce de doge? Ha to do na, abhi isi waqt do. Mai bhi dekhti hu ki tumme himmat kitni hai! Chalo do na, do! Divorce matlab 100 Rs che chuute nahi hai, jki wallet check kiya aur zhat se diya!",0,"Divorce matlab 100 Rs che chuute nahi hai, jki wallet check kiya aur zhat se diya!","To mai kya! Kya, divorce de doge? Ha to do na, abhi isi waqt do. Mai bhi dekhti hu ki tumme himmat kitni hai! Chalo do na, do!","To mai kya! Kya, divorce de doge? Ha to do na, abhi isi waqt do. Mai bhi dekhti hu ki tumme himmat kitni hai! Chalo do na, do! Divorce matlab 100 Rs che chuute nahi hai, jki wallet check kiya aur zhat se diya!",tu mai kya kya divurc de duge ha tu du na abhi isi vakt du mai bhi dekhti hu ki tume himat kitni hai chalu du na du divurc matlab 10 rs che chute nahi hai jki valet check kiya aur jhat se diya
13,How middle class can you get? Maya ab tum is Waqt kahan middle class ki maravat Karne baith gai? Nahin Nahin main sabit karne ki koshish kar rahi hun Ki Kyon rosesh Footpath per gadi chala raha tha use downmarket barat se bachne ki koshish kar raha tha you know. You understand sir Yahi Yahi argument aap Court mein karna chalo,0,Yahi Yahi argument aap Court mein karna chalo,How middle class can you get? Maya ab tum is Waqt kahan middle class ki maravat Karne baith gai? Nahin Nahin main sabit karne ki koshish kar rahi hun Ki Kyon rosesh Footpath per gadi chala raha tha use downmarket barat se bachne ki koshish kar raha tha you know. You understand sir,How middle class can you get? Maya ab tum is Waqt kahan middle class ki maravat Karne baith gai? Nahin Nahin main sabit karne ki koshish kar rahi hun Ki Kyon rosesh Footpath per gadi chala raha tha use downmarket barat se bachne ki koshish kar raha tha you know. You understand sir Yahi Yahi argument aap Court mein karna chalo,huv midl cla yu get maya ab tum wakt kahan midl cla ki maravat karn baith gai nahin nahin main sabit karn ki kushish kar rahi hun ki kyun rusesh futpath per gadi chala raha tha use duvnmarket barat se bachn ki kushish kar raha tha yu knuv yu understand sir yahi yahi argument ap curt mein karna chalu
14,Rosesh! Momma! My Rosesh! My Momma! Mom! Rosesh ko jaldi batane do warna Monisha aa jaegi!,0,Mom! Rosesh ko jaldi batane do warna Monisha aa jaegi!,Rosesh! Momma! My Rosesh! My Momma!,Rosesh! Momma! My Rosesh! My Momma! Mom! Rosesh ko jaldi batane do warna Monisha aa jaegi!,rusesh muma rusesh muma mum rusesh ku jaldi batan du varna munisha jaegi
15,"Monisha mai tumhe party me nahi le ja sakta, mai mom ko le ja raha hu... I hope you don't mind that... I hate you! kutte kamine haramzade! jab mujhe le kar hi nehi jana tha toh mujhe jhute sapne kyun dikhaye!? mai ye ghar saaf e na karti na Jhoote, makkar mummy ke chamche! I hate you! Mai ghar chod ke ja rahi hu!",0,"Jhoote, makkar mummy ke chamche! I hate you! Mai ghar chod ke ja rahi hu!","Monisha mai tumhe party me nahi le ja sakta, mai mom ko le ja raha hu... I hope you don't mind that... I hate you! kutte kamine haramzade! jab mujhe le kar hi nehi jana tha toh mujhe jhute sapne kyun dikhaye!? mai ye ghar saaf e na karti na","Monisha mai tumhe party me nahi le ja sakta, mai mom ko le ja raha hu... I hope you don't mind that... I hate you! kutte kamine haramzade! jab mujhe le kar hi nehi jana tha toh mujhe jhute sapne kyun dikhaye!? mai ye ghar saaf e na karti na Jhoote, makkar mummy ke chamche! I hate you! Mai ghar chod ke ja rahi hu!",munisha mai tumh parti nahi le ja sakta mai mum ku le ja raha hu hupe yu dun mind hate yu kute kamin haramjad jab mujh le kar hi nehi jana tha tuh mujh jhute sapn kyun dikhay mai ye ghar saf e na karti na jhute makar mumi ke chamch hate yu mai ghar chud ke ja rahi hu
16,"Aaj se tumhe sir Indravardhan Sarabhai kaha ke bulaaenge. Subha se shuru ho jaayenge, ""Sir, doodh pi leejiye sir. Excercise kar lijiye sir. Naha leejiye sir. Monisha ke tarah naakhoon mat chabaaeye sir! Darvaaja joor se mat slam karo Monisha. Machchar maar ke, ""Wow! Choutha machchar mara!"" mat bolo Monisha.",2,"Darvaaja joor se mat slam karo Monisha. Machchar maar ke, ""Wow! Choutha machchar mara!"" mat bolo Monisha.","Aaj se tumhe sir Indravardhan Sarabhai kaha ke bulaaenge. Subha se shuru ho jaayenge, ""Sir, doodh pi leejiye sir. Excercise kar lijiye sir. Naha leejiye sir. Monisha ke tarah naakhoon mat chabaaeye sir!","Aaj se tumhe sir Indravardhan Sarabhai kaha ke bulaaenge. Subha se shuru ho jaayenge, ""Sir, doodh pi leejiye sir. Excercise kar lijiye sir. Naha leejiye sir. Monisha ke tarah naakhoon mat chabaaeye sir! Darvaaja joor se mat slam karo Monisha. Machchar maar ke, ""Wow! Choutha machchar mara!"" mat bolo Monisha.",aaj se tumh sir indravardhan sarabhai kaha ke bulaeng subha se shuru hu jayeng sir dudh pi lejiy sir excercis kar lijiy sir naha lejiy sir munisha ke tarah nakhun mat chabaey sir darvaja jur se mat slam karu munisha machchar mar ke wuv chutha machchar mara mat bulu munisha
17,"acha hello dad, ye sunkar bilkul hasi nhi ayi.",2,"hello dad, ye sunkar bilkul hasi nhi ayi.",acha,"acha hello dad, ye sunkar bilkul hasi nhi ayi.",acha helu dad ye sunkar bilkul hasi nhi ayi
18,"24th February ko to aapne mujhe triple polio ka pahala dose dilwaaya tha momma! Haha, oh God! Lekin hum use celebrate to nahi kar sakte na beta. I mean cake pe kya likhenge, happy first polio dose day!?",2,"Haha, oh God! Lekin hum use celebrate to nahi kar sakte na beta. I mean cake pe kya likhenge, happy first polio dose day!?",24th February ko to aapne mujhe triple polio ka pahala dose dilwaaya tha momma!,"24th February ko to aapne mujhe triple polio ka pahala dose dilwaaya tha momma! Haha, oh God! Lekin hum use celebrate to nahi kar sakte na beta. I mean cake pe kya likhenge, happy first polio dose day!?",24th februari ku tu apn mujh tripl puliu ka pahala duse dilvaya tha muma haha uh gud lekin hum use celebr tu nahi kar sakt na beta mean cake pe kya likheng hapi first puliu duse day
19,uhh lift lift arey lift! eh lift ! oi oi .. aaaaa! kamina kahinka . ruko. ruko!!!! aapka dimaag toh thik hai!,0,aapka dimaag toh thik hai!,uhh lift lift arey lift! eh lift ! oi oi .. aaaaa! kamina kahinka . ruko. ruko!!!!,uhh lift lift arey lift! eh lift ! oi oi .. aaaaa! kamina kahinka . ruko. ruko!!!! aapka dimaag toh thik hai!,uh lift lift arey lift eh lift ui ui kamina kahinka ruku ruku apka dimag tuh thik hai
20,oh To fir Monisha jo balcony se bhaiya Ji bhaiya ji Chilla Rahi Hai vah Kyon Nahin Sunai deta Tumko Sahil thoda tikha Jyada god this is the limit stop her please just,0,god this is the limit stop her please just,oh To fir Monisha jo balcony se bhaiya Ji bhaiya ji Chilla Rahi Hai vah Kyon Nahin Sunai deta Tumko Sahil thoda tikha Jyada,oh To fir Monisha jo balcony se bhaiya Ji bhaiya ji Chilla Rahi Hai vah Kyon Nahin Sunai deta Tumko Sahil thoda tikha Jyada god this is the limit stop her please just,uh tu fir munisha ju balcuni se bhaiya ji bhaiya ji chila rahi hai vah kyun nahin sunai deta tumku sahil thuda tikha jyada gud limit stup pleas
21,"Sahil, aaj agar meri jindagi ka aakhiri din hai, to hum ek hi tahali mein khaaenge... Theek hai... Sheera! Chalo, Chalo, Chalo! Aray jaldi chalo! Aray Mega mall mein giant sale hai, mai Tumhe vaha Chod deta hun! Chalo, Chalo, Chalo!",1,"Chalo, Chalo, Chalo! Aray jaldi chalo! Aray Mega mall mein giant sale hai, mai Tumhe vaha Chod deta hun! Chalo, Chalo, Chalo!","Sahil, aaj agar meri jindagi ka aakhiri din hai, to hum ek hi tahali mein khaaenge... Theek hai... Sheera!","Sahil, aaj agar meri jindagi ka aakhiri din hai, to hum ek hi tahali mein khaaenge... Theek hai... Sheera! Chalo, Chalo, Chalo! Aray jaldi chalo! Aray Mega mall mein giant sale hai, mai Tumhe vaha Chod deta hun! Chalo, Chalo, Chalo!",sahil aj agar meri jindagi ka akhiri din hai tu hum ek hi tahali mein khaeng thek hai shera chalu chalu chalu aray jaldi chalu aray mega mal mein giant sale hai mai tumh vaha chud deta hun chalu chalu chalu
22,mom uska cell phone switched off a raha hai han vah battery bachat Rahi Hogi na cello ko Bar Bar recharge karne se Ghar Ki electricity ka bill Jo badh jata hai 10 12 rupaye Maya Monisha Mardan baad me karna. tum dekh rahi ho na Kitna pareshan hai sahil,0,Maya Monisha Mardan baad me karna. tum dekh rahi ho na Kitna pareshan hai sahil,mom uska cell phone switched off a raha hai han vah battery bachat Rahi Hogi na cello ko Bar Bar recharge karne se Ghar Ki electricity ka bill Jo badh jata hai 10 12 rupaye,mom uska cell phone switched off a raha hai han vah battery bachat Rahi Hogi na cello ko Bar Bar recharge karne se Ghar Ki electricity ka bill Jo badh jata hai 10 12 rupaye Maya Monisha Mardan baad me karna. tum dekh rahi ho na Kitna pareshan hai sahil,mum uska cel phune svitch uf raha hai han vah bateri bachat rahi hugi na celu ku bar bar recharg karn se ghar ki electr ka bil ju badh jata hai 10 12 rupay maya munisha mardan bad karna tum dekh rahi hu na kitna pareshan hai sahil
23,"Monisha, coffee banaane mein itani der kyu lag rahi hai tumhe? Coffee banaani to tumhe aati hai na Monisha, yaad hai last year tumane banaae thi.",2,"Coffee banaani to tumhe aati hai na Monisha, yaad hai last year tumane banaae thi.","Monisha, coffee banaane mein itani der kyu lag rahi hai tumhe?","Monisha, coffee banaane mein itani der kyu lag rahi hai tumhe? Coffee banaani to tumhe aati hai na Monisha, yaad hai last year tumane banaae thi.",munisha cufe banan mein itani der kyu lag rahi hai tumh cufe banani tu tumh ati hai na munisha yad hai last year tuman bana thi
24,"vah bahut upset Thi mom I know vo yahan ayi thi kya kah rahi thi Mummy ji kahan Suna maaf, bye. fir ho sake Hum donon Na Mile all that... main use samjhaya Jindagi Bhagwan Ki bhot mahangi gift hai use Khud Khushi Karke Yun Waste mat karo. right aur fir mahangi aur wate Saath-Saath sunkar uski Aankhen Chamak gai. vah Kuchh Nahin Karegi don't worry",2,aur fir mahangi aur wate Saath-Saath sunkar uski Aankhen Chamak gai. vah Kuchh Nahin Karegi don't worry,"vah bahut upset Thi mom I know vo yahan ayi thi kya kah rahi thi Mummy ji kahan Suna maaf, bye. fir ho sake Hum donon Na Mile all that... main use samjhaya Jindagi Bhagwan Ki bhot mahangi gift hai use Khud Khushi Karke Yun Waste mat karo. right","vah bahut upset Thi mom I know vo yahan ayi thi kya kah rahi thi Mummy ji kahan Suna maaf, bye. fir ho sake Hum donon Na Mile all that... main use samjhaya Jindagi Bhagwan Ki bhot mahangi gift hai use Khud Khushi Karke Yun Waste mat karo. right aur fir mahangi aur wate Saath-Saath sunkar uski Aankhen Chamak gai. vah Kuchh Nahin Karegi don't worry",vah bahut upset thi mum knuv vu yahan ayi thi kya kah rahi thi mumi ji kahan suna maf bye fir hu sake hum dunun na mile al main use samjhaya jindagi bhagvan ki bhut mahangi gift hai use khud khushi kark yun wast mat karu right aur fir mahangi aur vate sath sath sunkar uski aankhen chamak gai vah kuch nahin karegi dun vuri
25,"Aray magar mai to hu hi middle class! To uss mein change laao na meri maa! Middle class madam, har cheez mein middle class hona jaroori hai? Ice-cream parlour vaale ko tum bhaaiya ji kahati ho! Dhobi se muft mein roomal istri karate ho! Dusaro ki shaadi mein 15-20 photo khichavaate ho!",3,Ice-cream parlour vaale ko tum bhaaiya ji kahati ho! Dhobi se muft mein roomal istri karate ho! Dusaro ki shaadi mein 15-20 photo khichavaate ho!,"Aray magar mai to hu hi middle class! To uss mein change laao na meri maa! Middle class madam, har cheez mein middle class hona jaroori hai?","Aray magar mai to hu hi middle class! To uss mein change laao na meri maa! Middle class madam, har cheez mein middle class hona jaroori hai? Ice-cream parlour vaale ko tum bhaaiya ji kahati ho! Dhobi se muft mein roomal istri karate ho! Dusaro ki shaadi mein 15-20 photo khichavaate ho!",aray magar mai tu hu hi midl cla tu us mein chang lau na meri midl cla madam har chej mein midl cla huna jaruri hai ice cream parlur vale ku tum bhaiya ji kahati hu dhubi se muft mein rumal istri karat hu dusaru ki shadi mein 15 20 phutu khichav hu
26,"Aur Sahil bhai towel mein hai. Towel!? Party mein!? Monisha ne kapade nahi istri kiye honge. Don't mind, haan beta. Mai kavita padhna shuru karta hu. Umm, mai towel mein hu to mujhe thand lag rahi hogi na. To mai jau?",2,"Umm, mai towel mein hu to mujhe thand lag rahi hogi na. To mai jau?","Aur Sahil bhai towel mein hai. Towel!? Party mein!? Monisha ne kapade nahi istri kiye honge. Don't mind, haan beta. Mai kavita padhna shuru karta hu.","Aur Sahil bhai towel mein hai. Towel!? Party mein!? Monisha ne kapade nahi istri kiye honge. Don't mind, haan beta. Mai kavita padhna shuru karta hu. Umm, mai towel mein hu to mujhe thand lag rahi hogi na. To mai jau?",aur sahil bhai tuvel mein hai tuvel parti mein munisha ne kapad nahi istri kiy hung dun mind han beta mai kavita padhna shuru karta hu um mai tuvel mein hu tu mujh thand lag rahi hugi na tu mai jau
